"Lake, winter_female","Lake, winter_male","Lake, summer_female","Lake, summer_male",Tributary 1_female,Tributary 1_male,Tributary 2_female,Tributary 2_male
20000.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0
122607.09094,16143.2966366,2694.69590642,2694.69590642,13474.1785068,13473.4795321,343395.003744,1796.46393762
85537.061958,13045.0809701,14138.1505508,2176.56988027,70690.7258264,10882.8494013,19180.9772796,1451.04658685
82487.0500172,10546.8139477,11362.7106696,1759.3664497,56813.5525776,8796.83224852,54883.286382,1172.91096647
85390.907972,8529.25710691,10766.0358954,1422.64607549,53830.1757478,7113.23037743,75417.1110262,948.430716991
86362.3493728,6898.71307191,11014.0719169,1150.60027163,55070.3542053,5753.00135813,74308.8776238,767.066847751
87824.6124197,5580.4141249,11149.6089121,930.68865487,55748.0392816,4653.44327435,76488.5436357,620.459103247
89134.6984683,4514.3125918,11331.9824544,752.865828243,56659.906828,3764.32914121,77351.6450765,501.910552162
90361.7824592,3652.03356135,11502.8101548,609.049546471,57514.0452718,3045.24773235,78138.7414395,406.033030981
91428.0905193,2954.54175997,11663.2176494,492.722557035,58316.0826917,2463.61278518,78599.7932779,328.48170469
92337.6690043,2390.30870842,11804.2434359,398.623081667,59021.2115961,1993.11540833,78910.5052568,265.748721111
93094.7925766,1933.8545529,11925.2057225,322.499866621,59626.023012,1612.49933311,79100.6303938,214.999911081
93717.2125314,1564.58019815,12026.4258611,260.916555981,60132.1236963,1304.5827799,79222.1380063,173.944370654
94223.915048,1265.82842714,12109.9185542,211.09467703,60549.5871577,1055.47338515,79299.7879009,140.729784687
94634.1654806,1024.12742785,12178.0606134,170.787253903,60890.2974521,853.936269513,79351.9482211,113.858169268
94965.2281116,828.580449445,12233.3207105,138.176897634,61166.5979371,690.884488169,79388.6563074,92.1179317559
95232.0002265,670.372925138,12277.9599742,111.793542208,61389.7942553,558.967711038,79415.9969889,74.5290281384
95446.8823302,542.374222533,12313.9504759,90.4479918435,61569.7467644,452.239959218,79437.2964097,60.298661229
95620.0182234,438.815727648,12342.9475832,73.1782149985,61714.7323008,365.891074992,79454.444296,48.7854766656
95759.6046584,355.030561467,12366.3122628,59.2059259744,61831.5556994,296.029629872,79468.5084655,39.4706173163
95872.2260794,287.243089745,12385.1480539,47.9014756297,61925.7346546,239.507378149,79480.1409905,31.9343170865
95963.156974,232.398678042,12400.3431991,38.7554566069,62001.7103807,193.777283035,79489.7777664,25.8369710713
96036.6209854,188.025984382,12412.6100044,31.3557364151,62063.0444072,156.778682075,79497.7451266,20.9038242767
96096.0032956,152.125563485,12422.5191027,25.3688793364,62112.5898987,126.844396682,79504.3081984,16.9125862243
96144.021342,123.079751008,12430.5278551,20.5251176435,62152.6336607,102.625588217,79509.6926583,13.6834117623
96182.8603505,99.579760176,12437.0033249,16.6061935499,62185.0110099,83.0309677493,79514.0935125,11.0707956999
96214.2804913,80.5667017556,12442.2405897,13.4355232577,62211.197334,67.1776162886,79517.6789756,8.95701550515
96239.7015692,65.1838674005,12446.4772476,10.8702394343,62232.3806235,54.3511971715,79520.5927812,7.24682628954
96260.2701258,52.7381249329,12449.9048906,8.79475328753,62249.5188383,43.9737664376,79522.9563345,5.86316885835
96276.9128,42.668685262,12452.6781941,7.11554599656,62263.385356,35.5777299828,79524.8710506,4.74369733104
96290.3789338,34.5218331515,12454.9221414,5.75695471309,62274.6050926,28.7847735655,79526.4208472,3.83796980873
96301.2747159,27.9304829608,12456.7377868,4.65776320214,62283.6833194,23.2888160107,79527.6746395,3.10517546809
96310.0906336,22.5976380122,12458.2068709,3.76844347003,62291.0287397,18.8422173501,79528.6886984,2.51229564668
96317.2235964,18.2830081915,12459.3955283,3.04892407262,62296.9720269,15.2446203631,79529.5087824,2.03261604841
96322.9947999,14.7921827374,12460.3572744,2.46678453648,62301.7807572,12.3339226824,79530.1719971,1.64452302432
96327.664166,11.9678703291,12461.1354151,1.99579452991,62305.6714606,9.97897264956,79530.7083788,1.33052968661
96331.4420255,9.6828117452,12461.7649949,1.61473195738,62308.8193597,8.07365978691,79531.1422166,1.07648797159
96334.4985729,7.83404573795,12462.2743721,1.30642672046,62311.366246,6.53213360228,79531.4931427,0.870951146971
96336.9715203,6.33826974625,12462.6864939,1.05698705721,62313.4268548,5.28493528604,79531.7770229,0.704658038138
96338.9722929,5.1280864034,12463.0199278,0.855173599444,62315.0940243,4.27586799722,79532.00668,0.570115732963
96340.5910446,4.14896671175,12463.2896973,0.691892943314,62316.4428719,3.45946471657,79532.1924792,0.461261962209
96341.9007172,3.35679304786,12463.507958,0.559787914091,62317.5341753,2.79893957045,79532.3428007,0.373191942727
96342.9603256,2.71587128915,12463.6845447,0.452906062975,62318.4171089,2.26453031487,79532.4644214,0.301937375316
96343.8176168,2.19732249111,12463.8274146,0.366431458786,62319.1314584,1.83215729393,79532.562822,0.244287639191
96344.5112208,1.77778164619,12463.9430055,0.296467689458,62319.7094129,1.48233844729,79532.6424363,0.197645126305
96345.0723918,1.43834489244,12464.036526,0.239862295678,62320.1770154,1.19931147839,79532.706851,0.159908197118
96345.526416,1.1637177346,12464.1121902,0.194064725916,62320.5553363,0.970323629578,79532.7589678,0.129376483944
96345.8937517,0.941525897637,12464.1734075,0.157011412498,62320.8614227,0.785057062488,79532.8011344,0.104674274998
96346.1909506,0.761757761034,12464.2229363,0.127032790428,62321.1090669,0.635163952139,79532.8352506,0.0846885269519
96346.4314044,0.616313250632,12464.2630084,0.102778069366,62321.3094275,0.513890346829,79532.8628531,0.0685187129106
96346.6259476,0.498638861787,12464.2954294,0.0831543691001,62321.4715326,0.415771845501,79532.8851856,0.0554362460667
96346.7833461,0.403432368583,12464.3216602,0.0672774760543,62321.6026864,0.336387380271,79532.9032541,0.0448516507029
96346.910692,0.326403913727,12464.3428827,0.0544320019901,62321.7087986,0.272160009951,79532.9178729,0.0362880013267
96347.0137235,0.264082714215,12464.360053,0.0440391497195,62321.7946505,0.220195748597,79532.9297005,0.0293594331463
96347.0970828,0.213660673219,12464.373945,0.0356306333982,62321.8641105,0.178153166991,79532.9392698,0.0237537555988
96347.1645261,0.172865851581,12464.3851846,0.0288275782901,62321.9203083,0.14413789145,79532.947012,0.0192183855267
96347.2190923,0.139860097756,12464.3942781,0.0233234492575,62321.9657761,0.116617246288,79532.953276,0.0155489661717
96347.26324,0.113156223543,12464.4016354,0.0188702387622,62322.0025626,0.0943511938112,79532.958344,0.0125801591748
96347.2989584,0.0915509936853,12464.407588,0.0152672920293,62322.0323253,0.0763364601465,79532.9624444,0.0101781946862
96347.327857,0.0740709099541,12464.412404,0.0123522658534,62322.0564053,0.061761329267,79532.9657618,0.00823484390227
96347.351238,0.0599283468216,12464.4163005,0.00999381366523,62322.0758877,0.0499690683261,79532.9684459,0.00666254244348
96347.3701547,0.0484860622747,12464.419453,0.0080856672582,62322.0916503,0.040428336291,79532.9706174,0.0053904448388
96347.3854596,0.0392284846753,12464.4220036,0.00654184850753,62322.1044033,0.0327092425376,79532.9723744,0.00436123233835
