Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
4531.42807642,5407.8175381,798.465003505,659.113028077
4415.50779081,5365.69372306,619.59626705,503.702961459
4342.19160556,5342.41833961,541.433277177,439.177194005
4298.41350548,5333.21660204,504.480332584,411.522032983
4272.28220821,5331.20237637,485.517881652,399.072080405
4256.77293397,5332.68065017,475.017363094,393.120257788
4247.85802054,5335.83668029,468.846164072,390.102329631
4243.11570372,5339.7195815,465.082926951,388.50514451
4241.00990167,5343.78403352,462.756448918,387.648749248
4240.53152316,5347.7039212,461.330382845,387.20369232
4241.00885535,5351.29071111,460.484034682,386.996402951
4241.99709029,5354.44923518,460.013801676,386.928175367
4243.20770162,5357.14800652,459.785453891,386.939644935
4244.46027686,5359.39714676,459.708876131,386.993998189
4245.64851918,5361.23181651,459.723398223,387.068264578
4246.71596813,5362.70017759,459.78855192,387.148347564
4247.63870695,5363.85507638,459.877885218,387.225953035
4248.41318921,5364.74865234,459.974663461,387.296583325
4249.04782466,5365.42913323,460.068823646,387.358186993
4249.55730467,5365.93918549,460.154803799,387.410240196
4249.95889804,5366.31531463,460.23000122,387.453123869
4250.27013932,5366.58793251,460.293688405,387.487707599
4250.50748052,5366.78181424,460.346262729,387.515078482
4250.68559184,5366.91675261,460.388738162,387.536371041
4250.8170849,5367.00828274,460.422410702,387.552666629
4250.91249866,5367.0683975,460.448646663,387.564939571
4250.98043724,5367.10620794,460.468756239,387.574033854
4251.02778561,5367.12852583,460.483924875,387.580658968
4251.05995475,5367.14036064,460.495182662,387.585397016
4251.08112653,5367.14533226,460.503397706,387.588715799
4251.09448119,5367.14600631,460.509283752,387.590984402
4251.10239875,5367.14416122,460.513415456,387.592489119
4251.10663124,5367.14099739,460.516246973,387.593448445
4251.10844603,5367.13729812,460.518131142,387.594026488
4251.10874245,5367.13355166,460.519337664,387.594344502
4298.3868763,5367.13004214,624.382480227,515.967607164
4357.82544792,5379.83133162,750.630379269,621.42571795
4412.91683557,5390.51515529,851.374718519,707.66909432
4460.85272049,5397.90544685,933.374893095,778.293418073
4501.65568075,5402.54562234,1000.91428352,836.312995089
4535.90233935,5404.97222953,1056.93293964,884.135846379
4564.30818578,5405.62700561,1103.57705352,923.666156865
4587.61925079,5404.89848624,1142.48839595,956.412750135
4606.56202974,5403.13551784,1174.96640901,983.579242643
4621.81381304,5400.64482495,1202.06456234,1006.13400693
4633.98606858,5397.68663486,1224.65109599,1024.86307329
4643.61733155,5394.47333534,1243.44951542,1040.40977555
4651.17267719,5391.17158776,1259.06701459,1053.30447764
4657.04738,5387.90686449,1272.01536425,1063.987013
4661.57295116,5384.76923344,1282.72688477,1072.82381147
4665.02428372,5381.81947795,1291.56707136,1080.1211543
4667.62706525,5379.09495922,1298.84484151,1086.13559168
4669.56493672,5376.61489055,1304.82102345,1091.08225857
4670.98610109,5374.38487626,1309.71549302,1095.14161145
4672.00923639,5372.40068658,1313.71323607,1098.46495766
4672.72866642,5370.65130852,1316.96953247,1101.17904354
4673.21880291,5369.12134887,1319.6144053,1103.38989488
4673.53790796,5367.79287982,1321.75644577,1105.18605218
4673.73124343,5366.64681956,1323.48610124,1106.64130823
4673.83368076,5365.66393412,1324.8784987,1107.81703084
4673.87184471,5364.82553767,1325.99586467,1108.76413618
4673.86586023,5364.1139575,1326.88959411,1109.52476558
4673.83076572,5363.51281916,1327.60201438,1110.1337093
4673.77764831,5363.00719728,1328.16788445,1110.61961391
4673.71455003,5362.58366853,1328.61566528,1111.00600425
4673.64718617,5362.23029555,1328.96859263,1111.3121465
4673.57951117,5361.93656418,1329.24558017,1111.55377532
4673.51416138,5361.69329109,1329.4619772,1111.74370487
4673.45279894,5361.49251437,1329.63020236,1111.89234077
4673.396377,5361.3273766,1329.76027184,1112.00810796
4673.34534248,5361.19200676,1329.86023837,1112.09780714
4673.29978975,5361.08140565,1329.93655482,1112.1669109
4673.25957583,5360.99133778,1329.99437443,1112.21980898
4673.22440577,5360.91823139,1330.03779801,1112.26001095
4673.19389495,5360.85908757,1330.07007671,1112.29031296
4673.16761381,5360.81139875,1330.09377803,1112.31293475
4673.14511909,5360.77307639,1330.11092112,1112.32963177
4673.12597515,5360.7423875,1330.12308686,1112.34178673
4673.10976775,5360.71789925,1330.13150703,1112.35048403
4673.0961124,5360.69843118,1330.13713642,1112.35657019
4673.08465871,5360.68301405,1330.14071084,1112.36070272
4673.07509209,5360.6708547,1330.14279372,1112.36338953
4673.06713344,5360.66130624,1330.14381341,1112.36502053
4673.06053763,5360.6538428,1330.14409287,1112.36589303
3406.95063478,6941.7005566,1187.23452866,940.327514799
