Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
3917.12946391,4630.42346044,1181.53558565,1011.21967809
3931.12638167,5037.0589632,1091.20398863,996.362191021
3942.60080159,5233.01659475,1009.80736413,965.440118105
3951.39206884,5335.88664809,943.289759157,930.445817814
3960.45981386,5398.79063458,891.694662331,897.760462647
3967.43367986,5439.01599437,852.357600522,869.496969926
3971.61106025,5464.91609106,822.38019746,845.972480147
3973.42900542,5481.58447034,799.386236881,826.792078312
3973.6203013,5492.32678289,781.594320957,811.329425142
3972.84178547,5499.29185931,767.708114492,798.937900581
3971.57426087,5503.85859063,756.788229358,789.035131779
3970.13093331,5506.90034143,748.148371028,781.128542992
3968.69719052,5508.96545801,741.280158848,774.814912662
3967.37130718,5510.39713733,735.801085957,769.769891124
3966.19664402,5511.41078938,731.419022178,765.734905728
3965.18428072,5512.14281474,727.90794444,762.504643341
3964.32778898,5512.68083377,725.091124165,759.916256824
3963.61233716,5513.08221073,722.829248773,757.840511553
3963.02000598,5513.38534356,721.01183671,756.17470788
3962.53270442,5513.61654763,719.550890537,754.837095206
3962.13363231,5513.79428008,718.376107483,753.762486756
3961.80790023,5513.93176472,717.431202908,752.898820438
3961.54268465,5514.03865262,716.671049896,752.204457861
3961.32714386,5514.12209654,716.059431415,751.646057548
3961.15222461,5514.18746386,715.567261106,751.196895174
3961.01043112,5514.23882214,715.171167926,750.835532855
3960.89559419,5514.27927797,714.852366408,750.544762024
3960.80265809,5514.31121881,714.595752818,750.310761632
3960.72749266,5514.33648875,714.38918094,750.12242646
3960.66673178,5514.3565182,714.222881198,749.970830262
3960.61763708,5514.37242074,714.088994402,749.848796114
3960.57798406,5514.38506604,713.981197326,749.750552178
3960.54596777,5514.39513525,713.894401909,749.671455661
3960.52012511,5514.40316327,713.824513535,749.607771313
3960.49927103,5514.40957116,713.76823674,749.556493583
4436.18549749,6059.93881323,755.543445473,776.772837081
4493.6622829,5837.61357114,828.23383641,796.357778051
4550.78274223,5719.86232365,905.454139281,827.937899131
4601.99029164,5656.70757572,978.330122288,864.796817559
4639.49756834,5612.03347915,1042.74217325,901.802051725
4664.97731733,5575.50174139,1097.73449207,936.357539718
4681.40543687,5543.92315601,1143.7525392,967.264751202
4691.3521702,5516.20634687,1181.75428615,994.119827194
4696.78760174,5491.90225187,1212.82797327,1016.96943265
4699.16058765,5470.73465293,1238.03158639,1036.10078344
4699.51411766,5452.45250203,1258.32849636,1051.91336146
4698.58778883,5436.79373388,1274.56596693,1064.8423205
4696.89886343,5423.48575712,1287.47325243,1075.31458398
4694.80355254,5412.25540035,1297.66864644,1083.72539379
4692.54237991,5402.83891057,1305.67036475,1090.4274362
4690.27339995,5394.98932183,1311.90868571,1095.72750755
4688.09637449,5388.48093707,1316.73801562,1099.88752057
4686.07029703,5383.11142828,1320.44819649,1103.12784107
4684.22604817,5378.70219896,1323.27473301,1105.63171145
4682.5754958,5375.0975811,1325.40782012,1107.55000984
4681.11800187,5372.1633141,1327.0001711,1109.00590901
4679.84503951,5369.78463293,1328.17371212,1110.09919825
4678.7434349,5367.86419377,1329.0252432,1110.91015599
4677.79761118,5366.31998968,1329.63118064,1111.50293651
4676.99111075,5365.08335296,1330.05149756,1111.92847911
4676.30759885,5364.09710138,1330.332975,1112.22697205
4675.73149739,5363.31385756,1330.51186683,1112.42991614
4675.24835776,5362.6945523,1330.61607128,1112.56183654
4674.84505242,5362.20711042,1330.66689058,1112.64169143
4674.50984309,5361.82530995,1330.68044913,1112.68402262
4674.23236722,5361.52780135,1330.66883081,1112.69988945
4674.00357297,5361.29727114,1330.64098611,1112.69762196
4673.81562362,5361.11973385,1330.60345219,1112.68342498
4673.66178651,5360.98393626,1330.56092125,1112.66185969
4673.53631631,5360.88085903,1330.51668697,1112.63622553
4673.43433969,5360.80330195,1330.47299294,1112.60886126
4673.35174529,5360.74554044,1330.43130313,1112.58138087
4673.28508178,5360.70304231,1330.39251039,1112.55485744
4673.23146517,5360.67223515,1330.35709599,1112.52996535
4673.18849589,5360.6503162,1330.32525081,1112.50708952
4673.15418549,5360.63509743,1330.29696643,1112.48640881
4673.12689254,5360.62487985,1330.27210294,1112.46795885
4673.10526713,5360.61835189,1330.25043876,1112.45167924
4673.08820307,5360.61450761,1330.23170669,1112.43744821
4673.07479708,5360.61258102,1330.21561944,1112.42510806
4673.06431411,5360.61199367,1330.20188728,1112.41448322
4673.05615808,5360.61231284,1330.19022983,1112.40539293
4673.04984727,5360.61321847,1330.18038345,1112.39765983
4673.04499372,5360.61447699,1330.17210555,1112.39111547
3406.94556058,6941.65160428,1187.25990748,940.3509148
