Pool 1_Pool 1 all,Pool 2_Pool 2 all,Pool 3_Pool 3 all,Pool 4_Pool 4 all
1725.0,900.0,300.0,75.0
3188.14626771,4464.74601821,350.310467835,282.941939705
3956.40295554,5689.7884488,418.563492006,418.414526955
4069.93883371,5546.54786231,517.37082529,500.27106588
4180.96542952,5479.68789731,623.513212173,577.739353938
4288.93845553,5469.09520504,726.458208065,651.170339179
4378.33668156,5469.70888086,820.141118311,718.288870652
4449.16698859,5470.05599601,902.551220105,778.260397517
4504.44209037,5467.75493234,973.693031878,830.98462044
4547.23167368,5462.86841076,1034.39576823,876.757657245
4580.15253246,5456.08317287,1085.77429556,916.095750105
4605.33219102,5448.13992099,1128.99235033,949.622687487
4624.46972447,5439.66052085,1165.16001194,977.996656241
4638.91089192,5431.11387168,1195.29173256,1001.86454582
4649.71678419,5422.82894818,1220.29240993,1021.8351535
4657.7214337,5415.02087795,1240.95675699,1038.46503446
4663.57860379,5407.8175381,1257.97500983,1052.25256634
4667.79927799,5401.28256327,1271.94153224,1063.63717814
4670.78153657,5395.43389406,1283.36453191,1073.00168654
4672.83432251,5390.25816608,1292.67592783,1080.676375
4674.19633715,5385.72158959,1300.24084419,1086.9439257
4675.05105956,5381.77800487,1306.36645107,1092.04463533
4675.53867864,5378.37472453,1311.31001598,1096.1815621
4675.7655629,5375.45667198,1315.28611846,1099.52539507
4675.81176423,5372.9692269,1318.47303329,1102.21893246
4675.73695118,5370.86010212,1321.0183206,1104.38111755
4675.58508784,5369.08050539,1323.04367932,1106.11062059
4675.38811175,5367.5857819,1324.64913023,1107.48897972
4675.16881429,5366.33568728,1325.91659774,1108.5833284
4674.94308686,5365.29440466,1326.9129592,1109.44874451
4674.72166435,5364.43039098,1327.69262728,1110.13025936
4674.51147092,5363.71611558,1328.29972642,1110.66456551
4674.31665267,5363.12773682,1328.76991893,1111.08146051
4674.13936455,5362.64474985,1329.13193075,1111.40506146
4673.98036527,5362.24962822,1329.40882127,1111.65482205
4673.83946299,5361.92747481,1329.61903605,1111.84638067
