"Lake, winter","Lake, summer",Tributary 1,Tributary 2
40000.0,0.0,0.0,0.0
138750.387577,5389.39181285,26947.6580389,345191.467682
98582.1429281,16314.7204311,81573.5752277,20632.0238664
93033.8639649,13122.0771193,65610.3848261,56056.1973485
93920.1650789,12188.6819709,60943.4061252,76365.5417432
93261.0624447,12164.6721886,60823.3555634,75075.9444715
93405.0265445,12080.297567,60401.4825559,77109.002739
93649.0110601,12084.8482826,60424.2359693,77853.5556286
94013.8160206,12111.8597013,60559.2930042,78544.7744704
94382.6322793,12155.9402064,60779.6954768,78928.2749826
94727.9777127,12202.8665175,61014.3270045,79176.2539779
95028.6471295,12247.7055891,61238.5223451,79315.6303049
95281.7927296,12287.342417,61436.7064762,79396.0823769
95489.7434751,12321.0132312,61605.0605429,79440.5176856
95658.2929085,12348.8478673,61744.2337216,79465.8063904
95793.8085611,12371.4976081,61857.4824252,79480.7742391
95902.3731516,12389.7535164,61948.7619664,79490.526017
95989.2565527,12404.3984678,62021.9867236,79497.5950709
96058.833951,12416.1257982,62080.6233758,79503.2297727
96114.6352199,12425.5181888,62127.5853292,79507.9790828
96159.4691692,12433.0495295,62165.2420328,79512.0753076
96195.5556521,12439.0986557,62195.4876637,79515.6147374
96224.6469697,12443.9657408,62219.8230893,79518.6489509
96248.1288591,12447.887982,62239.4342954,79521.2207846
96267.101093,12451.0529727,62255.259249,79523.3760701
96282.4401106,12453.6095184,62268.0419776,79525.1643082
96294.847193,12455.676113,62278.3749503,79526.6359911
96304.8854366,12457.3474871,62286.7318207,79527.8396075
96313.0082507,12458.6996439,62293.4926047,79528.8195033
96319.5814853,12459.7937401,62298.963086,79529.6147479
187511.413445,12460.6790962,262303.389866,79530.2588171
231916.558745,23732.7031926,318663.510348,15823.7519516
270910.349177,30178.71626,350893.5813,20119.1493292
302561.795127,35452.1914736,377260.957368,23634.7943838
328190.607387,39724.7785819,398623.89291,26483.1857237
348935.613147,43183.5432808,415917.716404,28789.028854
365726.162442,45983.0630709,429915.315355,30655.3753806
379315.732073,48248.8976154,441244.488077,32165.9317436
390314.441472,50082.7575539,450413.78777,33388.505036
399216.178348,51566.9851629,457834.925814,34377.9901086
406420.706579,52768.2321548,463841.160774,35178.8214366
412251.593168,53740.4468075,468702.234038,35826.9645383
416970.726691,54527.2941215,472636.470607,36351.5294143
420790.071423,55164.1153862,475820.576931,36776.0769242
423881.18252,55679.5145375,478397.572688,37119.6763584
426382.908356,56096.6423059,480483.211529,37397.7615373
428407.625204,56434.2356885,482171.178442,37622.8237923
430046.283742,56707.4593377,483537.296689,37804.9728918
431372.493728,56928.5865935,484642.932968,37952.3910623
432445.83007,57107.5507072,485537.753536,38071.7004714
342127.995997,57252.3909901,286261.95495,38168.26066
276232.704333,46098.3062686,230491.531343,30732.204179
223328.764738,37253.6570181,186268.28509,24835.7713546
180625.914889,30125.9889703,150629.944852,20083.9936196
146111.619571,24367.8871087,121839.435543,16245.2902049
118201.7778,19712.5293802,98562.6469011,13142.1684347
95628.3204216,15947.4761463,79737.3807316,10635.6958485
77373.1809848,12902.0710735,64510.3553672,8623.05047637
62623.0362857,10439.0575311,52195.2876539,7041.7064844
50738.9847289,8448.57053705,42242.8526788,5881.83928886
41259.8318865,6843.98707552,34219.9353579,5273.52130265
34066.949331,5561.75460406,27808.7729668,6020.5114933
30498.6199415,4579.85960788,22899.2984916,12844.1858852
40179.2254271,4045.27945217,20226.4378779,53998.5569233
84753.9155811,5056.983495,25284.9276386,179137.552261
80779.6991102,10182.0342915,50910.157602,73987.9952271
88269.5419299,10366.3459514,51831.7244593,92701.304072
89852.4580997,11269.4049902,56347.0181881,81222.5079409
91817.75508,11565.8180009,57829.084194,81782.2958782
92751.1774506,11831.7532948,59158.7606346,79817.3336708
93498.2491325,11973.2485639,59866.2371492,79535.6720743
94012.466858,12077.4589781,60387.2892498,79235.1140212
94426.0128514,12149.7034467,60748.511622,79209.8849989
94758.969686,12206.175458,61030.8716845,79226.4702157
95037.0596094,12251.2864647,61256.4267192,79280.2872324
95269.5678863,12288.6365433,61443.1771106,79333.3917091
95464.2270951,12319.7814493,61598.9016386,79380.6221938
95626.2606286,12345.8263412,61729.1260955,79417.8944392
95760.3605351,12367.5164346,61837.5765611,79446.2470206
95870.6635477,12385.484309,61927.4159323,79467.1808714
95960.927458,12400.2811221,62001.3999968,79482.5337232
96034.4842963,12412.4032231,62062.0105014,79493.8146027
96094.2398417,12422.2911459,62111.450115,79502.2002476
96142.6764905,12430.3299539,62151.6441548,79508.5334795
96181.8815233,12436.8497615,62184.2431931,79513.4025975
96213.5869635,12442.1290395,62210.6395828,79517.2089339
96239.2160957,12446.3995261,62231.9920158,79520.2262809
96259.930205,12449.8520885,62249.2548281,79522.6434038
96276.6722405,12452.6427332,62263.2080514,79524.5936043
96290.2054955,12454.8982959,62274.4858651,79526.1739422
96301.1467323,12456.7215359,62283.602065,79527.4574566
96309.9938794,12458.1955304,62290.9720375,79528.5007582
96317.1488239,12459.3873703,62296.931237,79529.3487532
96322.9359734,12460.3512133,62301.7504518,79530.0376323
96327.6172746,12461.1307772,62305.6482711,79530.5968376
96331.4043208,12461.761361,62308.8011906,79531.05043
96334.4680974,12462.2714767,62311.3517686,79531.4180991
96336.9468222,12462.684162,62313.4151953,79531.7159477
96338.9522567,12463.0180387,62315.0845787,79531.9571251
96340.5747898,12463.2881629,62316.4351999,79532.1523488
96341.8875361,12463.506711,62317.5279402,79532.310338
0.0,0.0,0.0,0.0
