"Lake, winter","Lake, summer",Tributary 1,Tributary 2
40000.0,0.0,0.0,0.0
138750.387577,5389.39181285,26947.6580389,345191.467682
98582.1429281,16314.7204311,81573.5752277,20632.0238664
93033.8639649,13122.0771193,65610.3848261,56056.1973485
93920.1650789,12188.6819709,60943.4061252,76365.5417432
93261.0624447,12164.6721886,60823.3555634,75075.9444715
93405.0265445,12080.297567,60401.4825559,77109.002739
93649.0110601,12084.8482826,60424.2359693,77853.5556286
94013.8160206,12111.8597013,60559.2930042,78544.7744704
94382.6322793,12155.9402064,60779.6954768,78928.2749826
94727.9777127,12202.8665175,61014.3270045,79176.2539779
95028.6471295,12247.7055891,61238.5223451,79315.6303049
95281.7927296,12287.342417,61436.7064762,79396.0823769
95489.7434751,12321.0132312,61605.0605429,79440.5176856
95658.2929085,12348.8478673,61744.2337216,79465.8063904
95793.8085611,12371.4976081,61857.4824252,79480.7742391
95902.3731516,12389.7535164,61948.7619664,79490.526017
95989.2565527,12404.3984678,62021.9867236,79497.5950709
96058.833951,12416.1257982,62080.6233758,79503.2297727
96114.6352199,12425.5181888,62127.5853292,79507.9790828
96159.4691692,12433.0495295,62165.2420328,79512.0753076
96195.5556521,12439.0986557,62195.4876637,79515.6147374
96224.6469697,12443.9657408,62219.8230893,79518.6489509
96248.1288591,12447.887982,62239.4342954,79521.2207846
96267.101093,12451.0529727,62255.259249,79523.3760701
96282.4401106,12453.6095184,62268.0419776,79525.1643082
96294.847193,12455.676113,62278.3749503,79526.6359911
96304.8854366,12457.3474871,62286.7318207,79527.8396075
96313.0082507,12458.6996439,62293.4926047,79528.8195033
96319.5814853,12459.7937401,62298.963086,79529.6147479
98881.7929054,12460.6790962,72303.3898661,79530.2588171
94199.5845144,12614.1735342,73070.8620563,63157.6311257
94246.4186231,12067.8560614,70339.2759913,73392.9769211
93806.4553063,11998.7887703,69993.9387003,73498.7784529
93739.0161733,11935.0626702,69675.3081873,74496.506032
93714.7346108,11918.0464205,69590.2268568,74762.6767169
93739.8673824,11912.3605019,69561.797242,74959.2918822
93770.5912041,11914.1456342,69570.722888,75031.1142805
93799.4436975,11917.6740997,69588.3652097,75060.9897837
93821.4532429,11921.314151,69606.5654642,75065.2915428
93836.863931,11924.2411935,69621.2006767,75060.7825312
93846.8604854,11926.3538901,69631.7641599,75053.6495199
93852.9831689,11927.7591029,69638.7902248,75047.0794336
93856.5311766,11928.638161,69643.1855158,75041.9919449
93858.4797781,11929.1582544,69645.7859833,75038.4577089
93859.4906715,11929.4501245,69647.2453341,75036.1853637
93859.9838526,11929.6052617,69648.0210204,75034.8217738
93860.2094392,11929.683139,69648.4104068,75034.0583616
93860.3075338,11929.719988,69648.5946519,75033.6646346
93860.35135,11929.7365837,69648.6776305,75033.4837707
91303.4838131,11929.7440857,59648.7151404,75033.4167264
97146.6235543,11776.9700544,58884.8449839,95117.5563724
95650.3690337,12453.825305,62269.1196457,77886.4173389
96603.1553505,12375.9654031,61879.8215299,82015.0020003
96423.6142469,12480.3711534,62401.849952,79544.0555909
96508.1293151,12473.6770998,62368.3798844,79887.2204879
96450.9072175,12483.3941495,62416.9651052,79523.6049003
96428.4114895,12478.3338426,62391.6635999,79536.5630381
96397.8653711,12475.3307381,62376.6480763,79493.1540954
96378.9227842,12471.5365252,62357.6770151,79501.4732501
96365.1233189,12468.9329374,62344.6590754,79505.4388287
96356.871325,12467.0381019,62335.1848974,79514.1579068
96351.9451704,12465.8569636,62329.2792051,79520.4528671
96349.3035914,12465.1413188,62325.7009805,79525.4172235
96347.974784,12464.7448844,62323.7188079,79528.6431983
96347.3948327,12464.5392768,62322.6907696,79530.6900727
96347.1957437,12464.4442981,62322.2158759,79531.8744703
96347.1746252,12464.4076913,62322.032842,79532.5227351
96347.221286,12464.399485,62321.9918105,79532.8456778
96347.283217,12464.4030913,62322.0098419,79532.9885087
96347.3383056,12464.410245,62322.0456105,79533.0378146
96347.3800363,12464.4172518,62322.0806442,79533.0438628
96347.4087044,12464.4228189,62322.10848,79533.0331593
96347.4270217,12464.4267666,62322.1282183,79533.018615
96347.4380165,12464.4293529,62322.1411497,79533.0056065
96347.4442304,12464.4309408,62322.1490896,79532.9957593
96347.4475226,12464.4318591,62322.1536808,79532.98902
96347.4491376,12464.4323583,62322.156177,79532.9847476
96347.4498518,12464.4326114,62322.1574421,79532.9822174
96347.4501192,12464.4327286,62322.1580286,79532.9808206
96347.4501884,12464.4327764,62322.1582673,79532.9801116
96347.4501851,12464.4327917,62322.1583439,79532.9797925
96347.4501667,12464.432794,62322.1583555,79532.9796783
96347.4501548,12464.4327926,62322.1583484,79532.9796614
96347.4501541,12464.4327912,62322.1583414,79532.9796836
96347.450163,12464.432791,62322.1583404,79532.979716
96347.4501779,12464.432792,62322.1583453,79532.9797461
96347.4501955,12464.4327938,62322.1583543,79532.9797697
96347.4502134,12464.432796,62322.1583653,79532.9797867
96347.4502301,12464.4327983,62322.1583767,79532.9797981
96347.4502448,12464.4328005,62322.1583876,79532.9798055
96347.4502575,12464.4328024,62322.1583973,79532.9798102
96347.450268,12464.4328041,62322.1584057,79532.9798131
96347.4502767,12464.4328055,62322.1584128,79532.9798149
96347.4502838,12464.4328067,62322.1584186,79532.979816
96347.4502895,12464.4328076,62322.1584234,79532.9798167
96347.4502942,12464.4328084,62322.1584272,79532.9798173
96347.4502979,12464.432809,62322.1584303,79532.9798177
96347.4503009,12464.4328095,62322.1584328,79532.979818
96347.4503033,12464.4328099,62322.1584348,79532.9798182
96347.4503052,12464.4328102,62322.1584365,79532.9798184
0.0,0.0,0.0,0.0
